report_date,week_start,week_end,crop,crop_season,activity,state,state_code,is_total,progress_pct,prev_week_pct,prev_year_pct,five_year_avg_pct,source_file
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Bahia,BA,False,0.004699999999999999,0.0042,0.004,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Goiás,GO,False,0.008,0.006500000000000001,0.006500000000000001,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Maranhão,MA,False,0.0005,0.0003,0.0009,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Minas Gerais,MG,False,0.0068000000000000005,0.0052,0.0079,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Paraná,PR,False,0.0095,0.0092,0.0095,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Piauí,PI,False,0.0005,0.0002,0.0002,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Rio Grande do Sul,RS,False,0.008199999999999999,0.008,0.008,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Santa Catarina,SC,False,0.009899999999999999,0.0098,0.0097,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
2022-04-23,2022-04-17,2022-04-23,corn_1,2021/22,harvest,Total,,True,0.00657,0.006,0.0066,,PlantioZeZcolheitaZ17ZaZ23-04.xlsx
